Movie,References
Thor(2011),Quinceañera (2006)
Thor(2011),Iron Man (2008)
Thor(2011),The Incredible Hulk (2008)
Thor(2011),Captain America: The First Avenger (2011)
Thor: The Dark World (2013),The Monster That Challenged the World (1957)
Thor: The Dark World (2013),Star Wars: Episode V - The Empire Strikes Back (1980)
Thor: The Dark World (2013),The Avengers (2012)
Thor: The Dark World (2013),Guardians of the Galaxy (2014)
Thor: Ragnarok (2017）,The Great Escape (1963)
Thor: Ragnarok (2017）,Willy Wonka & the Chocolate Factory (1971)
Thor: Ragnarok (2017）,Flash Gordon (1980)
Thor: Ragnarok (2017）,Ghostbusters (1984)
Thor: Ragnarok (2017）,Big Trouble in Little China (1986)
Thor: Ragnarok (2017）,Midnight Run (1988)
Thor: Ragnarok (2017）,Point Break (1991)
Thor: Ragnarok (2017）,The Castle (1997)
Thor: Ragnarok (2017）,Avengers: Age of Ultron (2015)
Thor: Ragnarok (2017）,Doctor Strange (2016)
Thor: Ragnarok (2017）,Avengers: Infinity War (2018)
Black Panther (2018),The Wizard of Oz (1939)
Black Panther (2018),Bonnie and Clyde (1967)
Black Panther (2018),Blade Runner (1982)
Black Panther (2018),Back to the Future Part II (1989)
Black Panther (2018),The Lion King (1994)
Black Panther (2018),The Phantom (1996)
Black Panther (2018),The Dark Knight (2008)
Black Panther (2018),Un prophète (2009)
Black Panther (2018),The Hobbit: An Unexpected Journey (2012)
Black Panther (2018),Avengers: Age of Ultron (2015)
Black Panther (2018),Captain America: Civil War (2016)
Captain Marvel (2019),Robot Monster (1953)
Captain Marvel (2019),Bride of the Monster (1955)
Captain Marvel (2019),The Brain from Planet Arous (1957)
Captain Marvel (2019),Plan 9 from Outer Space (1959)
Captain Marvel (2019),Manos: The Hands of Fate (1966)
Captain Marvel (2019),MASH (1970)
Captain Marvel (2019),Pink Flamingos (1972)
Captain Marvel (2019),Wam Bam Thank You Spaceman (1975)
Captain Marvel (2019),The Cat from Outer Space (1978)
Captain Marvel (2019),The Swarm (1978)
Captain Marvel (2019),The Right Stuff (1983)
Captain Marvel (2019),Supergirl (1984)
Captain Marvel (2019),To Live and Die in L.A. (1985)
Captain Marvel (2019),Troll (1986)
Captain Marvel (2019),Top Gun (1986)
Captain Marvel (2019),Ferris Bueller's Day Off (1986)
Captain Marvel (2019),Jumpin' Jack Flash (1986)
Captain Marvel (2019),Jaws: The Revenge (1987)
Captain Marvel (2019),The Garbage Pail Kids Movie (1987)
Captain Marvel (2019),Rain Man (1988)
Captain Marvel (2019),Troll 2 (1990)
Captain Marvel (2019),Marked for Death (1990)
Captain Marvel (2019),The Silence of the Lambs (1991)
Captain Marvel (2019),Samurai Cop (1991)
Captain Marvel (2019),Hook (1991)
Captain Marvel (2019),Father of the Bride (1991)
Captain Marvel (2019),Super Mario Bros. (1993)
Captain Marvel (2019),Last Action Hero (1993)
Captain Marvel (2019),In the Line of Fire (1993)
Captain Marvel (2019),The Nightmare Before Christmas (1993)
Captain Marvel (2019),Mrs. Doubtfire (1993)
Captain Marvel (2019),Philadelphia (1993)
Captain Marvel (2019),The Hudsucker Proxy (1994)
Captain Marvel (2019),True Lies (1994)
Captain Marvel (2019),Natural Born Killers (1994)
Captain Marvel (2019),Junior (1994)
Captain Marvel (2019),Legends of the Fall (1994)
Captain Marvel (2019),Just Cause (1995)
Captain Marvel (2019),Kiss of Death (1995)
Captain Marvel (2019),First Knight (1995)
Captain Marvel (2019),Babe (1995)
Captain Marvel (2019),Mallrats (1995)
Captain Marvel (2019),Sabrina (1995)
Captain Marvel (2019),Kolja (1996)
Captain Marvel (2019),The First Wives Club (1996)
Captain Marvel (2019),The Matrix (1999)
Captain Marvel (2019),Iron Man (2008)
Captain Marvel (2019),Captain America: The First Avenger (2011)
Captain Marvel (2019),The Avengers (2012)
Captain Marvel (2019),Agents of S.H.I.E.L.D. (2013) (TV Series)
Captain Marvel (2019),Guardians of the Galaxy (2014)
Captain Marvel (2019),Ghostbusters (2016)
Captain Marvel (2019),Star Wars: Episode VIII - The Last Jedi (2017)
Captain Marvel (2019),Avengers: Endgame (2019)
Captain America: The First Avenger (2011),A Matter of Life and Death (1946) 
Captain America: The First Avenger (2011),The Bad and the Beautiful (1952) 
Captain America: The First Avenger (2011),Peter Pan (1953)
Captain America: The First Avenger (2011),36 Hours (1964) 
Captain America: The First Avenger (2011),Raiders of the Lost Ark (1981)
Captain America: The First Avenger (2011),The Rocketeer (1991) 
Captain America: The First Avenger (2011),Men in Black (1997) 
Captain America: The First Avenger (2011),Mulan (1998) 
Captain America: The First Avenger (2011),Fantastic Four (2005) 
Captain America: The First Avenger (2011),Iron Man 2 (2010) 
Captain America: The First Avenger (2011),Thor (2011) 
Captain America: The Winter Soldier (2014),"Trouble Man (1972)

"
Captain America: The Winter Soldier (2014),"The Parallax View (1974)

"
Captain America: The Winter Soldier (2014),"Three Days of the Condor (1975)

"
Captain America: The Winter Soldier (2014),"All the President's Men (1976)

"
Captain America: The Winter Soldier (2014),"Marathon Man (1976)

"
Captain America: The Winter Soldier (2014),"Rocky (1976)

"
Captain America: The Winter Soldier (2014),"Star Wars: Episode IV - A New Hope (1977)

"
Captain America: The Winter Soldier (2014),"A Bridge Too Far (1977)

"
Captain America: The Winter Soldier (2014),"Rocky II (1979)

"
Captain America: The Winter Soldier (2014),"Rocky III (1982)

"
Captain America: The Winter Soldier (2014),"WarGames (1983)

"
Captain America: The Winter Soldier (2014),"Top Gun (1986)

"
Captain America: The Winter Soldier (2014),"Captain America (1990)

"
Captain America: The Winter Soldier (2014),"Pulp Fiction (1994)

"
Captain America: The Winter Soldier (2014),"Heat (1995)

"
Captain America: The Winter Soldier (2014),"Mission: Impossible (1996)

"
Captain America: The Winter Soldier (2014),"The Matrix (1999)

"
Captain America: The Winter Soldier (2014),"The Perfect Score (2004)

"
Captain America: The Winter Soldier (2014),"Iron Man 2 (2010)

"
Captain America: The Winter Soldier (2014),"Doctor Strange (2016)

"
Captain America: Civil War(2016),"The Manchurian Candidate (1962)

"
Captain America: Civil War(2016),"The Godfather (1972)

"
Captain America: Civil War(2016),"Telefon (1977)

"
Captain America: Civil War(2016),"Star Wars: Episode V - The Empire Strikes Back (1980)

"
Captain America: Civil War(2016),"Raging Bull (1980)

"
Captain America: Civil War(2016),"This Is Spinal Tap (1984)

"
Captain America: Civil War(2016),"Captain America (1990)

"
Captain America: Civil War(2016),"Only You (1994)

"
Captain America: Civil War(2016),"Se7en (1995)

"
Captain America: Civil War(2016),"Fargo (1996)

"
Captain America: Civil War(2016),"Cats & Dogs (2001)

"
Captain America: Civil War(2016),"Spider-Man (2002)

"
Captain America: Civil War(2016),"Finding Nemo (2003)

"
Captain America: Civil War(2016),"The Manchurian Candidate (2004)

"
Captain America: Civil War(2016),"The Incredible Hulk (2008)

"
Captain America: Civil War(2016),"Avengers: Age of Ultron (2015)

"
Captain America: Civil War(2016),"Ant-Man (2015)

"
Guardians of the Galaxy (2014),"The Maltese Falcon (1941)

"
Guardians of the Galaxy (2014),"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)

"
Guardians of the Galaxy (2014),"Dark Star (1974)

"
Guardians of the Galaxy (2014),"Death Wish (1974)

"
Guardians of the Galaxy (2014),"Star Wars: Episode V - The Empire Strikes Back (1980)

"
Guardians of the Galaxy (2014),"Flash Gordon (1980)

"
Guardians of the Galaxy (2014),"Raiders of the Lost Ark (1981)

"
Guardians of the Galaxy (2014),"Blade Runner (1982)

"
Guardians of the Galaxy (2014),"Star Wars: Episode VI - Return of the Jedi (1983)

"
Guardians of the Galaxy (2014),"Footloose (1984)

"
Guardians of the Galaxy (2014),"A Nightmare on Elm Street 2: Freddy's Revenge (1985)

"
Guardians of the Galaxy (2014),"Cobra (1986)

"
Guardians of the Galaxy (2014),"Howard the Duck (1986)

"
Guardians of the Galaxy (2014),"Terminator 2: Judgment Day (1991)

"
Guardians of the Galaxy (2014),"The Usual Suspects (1995)

"
Guardians of the Galaxy (2014),"Independence Day (1996)

"
Guardians of the Galaxy (2014),"Star Trek: First Contact (1996)

"
Guardians of the Galaxy (2014),"Boogie Nights (1997)

"
Guardians of the Galaxy (2014),"Starship Troopers (1997)

"
Guardians of the Galaxy (2014),"Star Wars: Episode I - The Phantom Menace (1999)

"
Guardians of the Galaxy (2014),"Titan A.E. (2000)

"
Guardians of the Galaxy (2014),"Star Wars: Episode II - Attack of the Clones (2002)

"
